Gene,Hw1-5a,Hw1-5b,Hw1-5c,Hw2-5a,Hw2-5b,Hw2-5c,Wt1-5a,Wt1-5b,Wt1-5c,Wt2-5a,Wt2-5b,Wt2-5c
GAK,18,21,36,27,26,14,11,26,45,26,23,14
galc,311,331,531,464,447,278,109,206,293,109,125,129
galD,26,15,32,28,21,17,18,18,23,15,9,14
galE,160,143,215,241,273,154,218,437,786,275,311,132
GALNT12,45,35,110,174,199,66,104,144,157,62,78,60
Galnt3,194,181,305,264,233,132,55,99,137,48,75,48
GALT3,39,29,74,23,47,20,10,17,17,6,12,11
GALT4,15,14,30,17,51,8,24,30,53,17,36,29
Gamt,57,25,37,40,46,22,6,32,31,4,14,9
GAPC1,21,5,14,24,31,7,8,8,7,2,0,3
GAPDG,273,211,418,308,396,194,112,166,210,79,99,83
gapN,285,245,437,535,518,221,84,168,171,76,101,65
garR,3,6,10,5,11,0,7,7,4,1,4,1
Gars,69,53,74,108,90,63,54,54,130,41,72,34
GART,24,39,52,48,43,24,29,13,25,7,27,20
GAS8,217,262,346,321,310,217,60,124,135,56,57,45
GATL10,242,170,330,399,415,174,102,205,265,95,132,78
GATL4,85,49,97,79,82,45,29,43,77,21,56,21
Gba,251,221,428,455,445,236,123,209,260,102,122,85
gba-3,139,76,193,131,139,73,46,37,57,13,26,29
GBE1,73,95,197,199,180,99,75,44,89,38,46,56
gbh,106,83,132,179,155,91,46,80,129,42,61,27
Gcfc2,24,16,42,46,74,15,14,45,27,16,18,12
GCLC,51,23,50,58,53,20,48,61,74,22,37,20
gcn2,51,148,250,187,134,144,66,102,204,63,73,64
GCP3,121,80,165,143,132,68,34,47,79,31,38,35
gcy-21,152,172,247,232,165,122,62,116,173,65,98,81
gcy-28,50,69,132,78,74,42,13,18,40,17,21,8
GDA1,24,37,73,56,55,33,47,63,73,28,37,37
GDCST,104,61,143,122,110,67,31,56,68,22,33,27
Gde1,126,98,176,88,122,53,21,57,89,27,28,30
gdi1,179,166,230,170,135,140,24,75,86,26,43,46
GDPD1,20,12,17,19,20,2,8,15,19,8,9,6
gefF,0,0,4,0,1,0,3,0,2,1,0,0
get3,143,73,144,49,89,35,26,45,65,21,25,23
GF14F,106,49,120,139,176,71,45,100,72,31,48,31
GG18702,54,47,75,50,28,29,21,20,31,8,11,3
gghA,50,43,62,37,35,18,27,60,64,30,45,31
ggs,257,238,418,409,384,181,75,115,165,58,91,67
ggt,0,0,2,2,2,0,3,1,2,0,1,1
ggtb-1,9,7,19,20,32,1,4,6,3,2,2,0
GID1B,168,125,231,37,50,56,41,71,127,35,57,40
GIMAP6,100,97,185,188,190,78,42,79,125,37,66,51
Gins2,126,72,225,140,207,69,44,92,66,23,42,25
GIP,2171,1788,3454,3174,3450,1699,760,1463,1929,665,918,657
GIT1,45,38,88,84,111,32,52,58,65,23,26,38
GK2103,15,20,18,30,27,10,5,10,23,11,13,10
GL12933,4,3,10,7,13,1,5,3,4,3,4,8
GL14463,7,4,13,14,18,8,11,4,7,2,4,2
Gla,26,17,44,19,40,13,13,10,16,5,5,8
glaA,15,12,22,17,20,9,7,11,9,1,6,2
GLCAK1,12,3,8,5,10,2,6,9,5,0,7,1
Gld,0,3,5,2,8,1,3,6,8,1,0,3
gld-2,11,14,38,47,43,23,16,18,40,10,7,17
glgB,95,196,287,333,266,157,85,155,286,101,126,128
Glipr2,125,89,153,144,157,105,25,79,92,29,58,22
glk,87,77,163,114,105,82,37,42,74,31,31,30
GLN1,407,381,777,807,918,389,292,478,616,223,315,233
glnA3,171,169,313,277,293,160,99,131,174,53,76,62
glnS,124,93,147,131,129,62,21,44,50,20,20,7
GLO1,225,173,314,228,237,119,60,109,165,48,69,64
GLO5,35,25,49,165,193,49,36,83,90,31,42,64
gloB,127,92,155,237,259,91,46,112,162,52,77,48
gloC,191,109,208,158,190,132,42,86,87,22,37,27
glpF,8,7,17,23,21,11,13,23,14,6,5,4
glpV,19,35,51,38,50,25,13,17,19,6,12,1
GLR3.1,5,3,7,8,6,3,17,20,19,6,14,10
GLRX,230,109,202,192,183,124,24,83,110,36,39,31
Glrx5,302,204,378,310,364,208,73,167,173,42,86,51
glt-1,81,50,91,79,153,38,43,47,47,16,31,15
GLT1,5,30,68,25,17,12,19,27,28,12,11,16
GLT8D2,0,0,0,33,27,19,13,24,40,7,13,11
gltB,23,10,32,18,29,13,7,12,15,4,2,1
gltp,23,26,29,30,30,17,26,30,52,23,24,7
gly-6,2,1,0,0,1,0,0,0,7,0,2,2
GLY1,166,123,250,137,178,104,56,88,132,45,60,43
GLYK,4,9,16,21,19,5,4,62,100,18,25,10
glyQS,48,45,90,50,86,50,8,29,19,12,10,7
GONST4,534,459,860,678,769,384,202,426,510,166,211,105
GONST5,29,30,80,55,47,25,11,26,22,10,10,3
Gorasp2,155,106,217,168,205,87,64,89,108,49,56,37
GORK,19,25,66,47,60,22,15,29,60,15,31,24
Gp1ba,155,131,275,236,287,129,81,91,112,40,56,24
Gp5,7,5,8,2,7,4,7,4,2,2,1,2
GPATCH1,324,309,519,428,461,248,93,214,224,82,138,97
Gpatch3,18,5,18,15,28,3,17,27,30,9,17,8
Gpatch4,69,119,178,141,147,104,44,102,135,46,72,53
GPD,87,42,120,68,138,48,20,16,38,19,21,26
GPD1,157,105,199,217,213,115,73,100,168,63,106,66
gpi3,18,11,28,27,36,10,29,15,13,6,10,3
Gpld1,13,19,26,18,28,13,4,22,22,4,19,8
gpmA,40,24,66,69,102,29,16,40,44,14,41,32
gpmB,60,76,138,143,89,71,48,72,90,32,36,44
gpn1,11,11,16,4,15,9,10,12,16,6,6,8
GPR125,8,10,30,24,17,10,9,13,21,10,15,11
GPR155,42,52,50,64,66,54,49,64,114,37,54,30
gpr180,89,46,86,85,109,65,26,45,66,32,39,14
gpt,208,275,444,478,481,224,144,256,344,123,172,175
GPT2,100,67,141,138,150,62,57,81,88,27,60,36
gra-orf6,106,96,163,152,144,71,28,70,70,27,27,45
GRC3,0,2,5,81,107,19,14,16,19,7,9,13
GRINA,20,24,32,29,27,20,10,23,38,6,16,7
GRM8,11,24,44,44,29,19,12,25,23,11,15,11
groL1,0,0,0,0,3,1,0,1,0,1,0,0
groL7,26,21,66,49,51,24,21,37,48,18,25,16
grpE,32,22,38,43,47,24,28,37,45,17,24,10
grsT,102,101,162,131,126,62,39,49,92,39,48,36
grtp1,54,25,51,63,71,41,45,28,30,13,21,16
grxB,178,95,169,137,152,64,40,56,83,29,49,40
GRXC1,36,17,37,21,26,13,8,16,28,8,12,4
GSC2,72,52,111,82,72,44,32,21,34,7,12,15
gsdA,149,142,221,256,213,150,95,117,239,95,127,81
gsk-3,20,17,42,22,36,19,3,13,6,0,0,1
