Gene,Hw1-1a,Hw1-1b,Hw1-1c,Hw2-1a,Hw2-1b,Hw2-1c,Wt1-1a,Wt1-1b,Wt1-1c,Wt2-1a,Wt2-1b,Wt2-1c
AKR2A,289,217,138,253,125,165,136,304,194,277,60,131
AKR2B,85,56,67,106,39,31,22,29,16,31,6,14
AKR4C9,45,72,69,70,36,39,61,116,46,91,23,33
AKT1,121,123,133,150,95,58,34,65,24,144,15,31
AKT5,4,9,9,16,5,5,5,30,10,37,15,12
AL1,73,85,87,115,58,56,43,79,28,95,20,34
ALA3,3,4,2,8,6,2,7,18,8,15,12,13
ALA7,4,6,11,12,5,6,4,12,8,21,4,14
alaS,44,51,71,95,44,35,38,72,26,51,12,25
alaS,63,56,42,63,20,19,26,12,9,21,4,6
ALATS,26,22,27,26,24,16,35,63,30,90,32,58
ald,25,51,92,76,41,20,32,66,37,99,17,26
Aldh3a1,58,71,86,196,106,91,77,129,63,166,39,54
Aldh3a1,45,52,60,94,51,36,28,78,24,90,15,32
ALDH3A1,7,11,15,44,22,21,12,42,23,43,5,13
ALDH6A1,36,43,42,50,22,17,24,34,26,59,7,3
ALDH8A1,1,7,13,10,4,5,2,5,0,2,3,1
ALDOB,15,11,8,12,6,1,2,9,7,10,0,6
ALG11,20,23,40,14,18,11,7,10,10,34,8,7
ALG11,29,39,49,47,29,22,4,16,4,68,7,11
ALG11,173,237,262,303,144,144,39,89,39,322,34,45
alg13,52,64,62,67,40,43,24,48,22,56,14,22
ALKBH3,54,45,55,53,31,22,54,122,64,139,29,32
ALKBH3,18,17,23,32,18,34,13,13,7,36,6,7
Alkbh3,69,70,73,86,57,63,17,38,23,81,7,15
Alkbh3,74,97,102,76,33,29,36,74,34,124,16,30
